FriendShip Between,Common Interests
1+7,1
1+16,2
1+19,1
1+20,2
1+22,1
1+23,3
1+24,1
1+25,1
1+27,1
1+28,1
1+29,1
1+33,1
1+34,2
1+39,1
1+42,1
1+44,1
1+45,1
1+47,1
2+4,3
2+7,8
2+8,1
2+10,2
2+11,3
2+12,1
2+13,1
2+14,2
2+16,6
2+19,2
2+20,5
2+21,4
2+23,6
2+26,5
2+27,5
2+28,3
2+29,3
2+30,4
2+31,2
2+33,6
2+34,4
2+37,1
2+38,1
2+39,1
2+42,2
2+43,5
2+44,5
2+45,3
2+46,2
2+48,2
3+4,5
3+6,1
3+7,3
3+10,2
3+11,5
3+12,2
3+16,3
3+17,1
3+18,6
3+20,3
3+23,4
3+24,1
3+25,5
3+28,3
3+29,4
3+30,4
3+33,2
3+34,4
3+39,2
3+41,8
3+42,3
3+43,2
3+45,3
3+47,5
3+48,2
4+2,3
4+3,5
4+5,2
4+6,2
4+7,7
4+10,4
4+11,6
4+12,2
4+14,1
4+16,1
4+18,4
4+19,2
4+21,6
4+22,1
4+23,1
4+25,5
4+26,2
4+27,5
4+28,7
4+29,5
4+30,7
4+33,5
4+34,2
4+39,5
4+40,1
4+41,6
4+42,2
4+43,7
4+44,11
4+45,3
4+46,5
4+47,4
4+48,1
5+4,2
5+7,3
5+11,1
5+14,1
5+15,1
5+18,1
5+22,1
5+23,1
5+25,3
5+29,1
5+30,1
5+32,1
5+33,1
5+34,2
5+39,1
5+40,1
5+43,2
5+44,1
6+2,1
6+3,1
6+4,2
6+7,2
6+10,1
6+12,1
6+19,1
6+20,3
6+21,1
6+27,1
6+28,1
6+29,1
6+31,2
6+33,1
6+34,1
6+35,1
6+39,2
6+41,1
6+45,2
6+46,2
6+47,2
6+48,2
7+1,1
7+2,8
7+3,3
7+4,7
7+5,3
7+8,1
7+10,3
7+11,2
7+12,4
7+13,1
7+15,1
7+16,4
7+18,4
7+19,2
7+20,8
7+21,1
7+22,1
7+23,6
7+25,4
7+27,2
7+28,2
7+29,1
7+30,1
7+33,8
7+34,3
7+35,2
7+38,3
7+39,3
7+41,5
7+42,1
7+44,8
7+45,5
7+46,3
7+48,2
8+2,1
8+7,1
8+10,1
8+13,1
8+14,1
8+20,1
8+21,1
8+22,1
8+30,1
8+32,1
8+33,2
8+35,1
8+41,3
8+44,2
8+45,1
8+46,1
9+19,1
9+43,1
10+2,2
10+3,2
10+4,4
10+6,1
10+8,1
10+12,3
10+13,1
10+16,1
10+20,2
10+21,1
10+23,1
10+25,1
10+26,1
10+27,1
10+30,2
10+33,1
10+34,2
10+39,2
10+43,1
10+44,4
10+45,1
10+46,4
11+2,3
11+4,6
11+5,1
11+6,1
11+7,2
11+12,1
11+14,1
11+16,1
11+18,3
11+19,1
11+20,3
11+22,2
11+23,4
11+25,1
11+26,1
11+27,5
11+29,5
11+31,1
11+33,3
11+34,3
11+35,1
11+37,1
11+39,2
11+41,5
11+42,2
11+43,5
11+44,4
11+45,6
11+46,4
11+47,2
12+2,1
12+3,2
12+4,2
12+6,1
12+7,4
12+10,3
12+11,1
12+13,1
12+15,1
12+16,2
12+18,7
12+20,1
12+21,3
12+23,3
12+25,3
12+26,1
12+27,4
12+28,4
12+30,2
12+33,3
12+35,2
12+36,1
12+39,1
12+40,1
12+41,3
12+43,5
12+44,3
12+46,3
13+2,1
13+7,1
13+8,1
13+10,1
13+12,1
13+14,1
13+16,1
13+20,1
13+34,1
13+39,1
14+2,2
14+4,1
14+5,1
14+7,4
14+8,1
14+11,1
14+13,1
14+16,2
14+17,1
14+18,1
14+20,4
14+21,1
14+23,1
14+25,2
14+26,1
14+30,2
14+33,3
14+34,2
14+38,1
14+39,1
14+41,2
14+42,1
14+43,4
14+44,2
14+45,2
14+46,3
14+47,1
14+48,1
15+5,1
15+7,1
15+12,1
15+21,1
15+23,1
15+29,1
15+34,1
16+1,2
16+2,6
16+3,3
16+4,1
16+7,4
16+11,1
16+12,2
16+13,1
16+14,2
16+17,1
16+18,3
16+20,3
16+21,1
16+22,1
16+23,1
16+27,3
16+28,2
16+29,3
16+33,3
16+34,7
16+35,1
16+36,1
16+38,1
16+39,4
16+41,4
16+42,1
16+43,4
16+44,6
16+45,2
17+3,1
17+11,1
17+14,1
17+16,1
17+18,1
17+20,1
17+23,1
17+25,1
17+27,1
17+30,1
17+33,2
17+39,1
17+42,1
17+43,1
17+44,1
17+45,1
17+46,2
18+2,4
18+3,6
18+4,4
18+5,1
18+6,2
18+7,4
18+11,3
18+12,7
18+14,1
18+16,3
18+17,1
18+19,2
18+20,2
18+23,4
18+25,6
18+27,4
18+28,5
18+29,1
18+30,3
18+33,3
18+34,2
18+35,4
18+36,2
18+39,3
18+41,6
18+42,2
18+43,5
18+44,1
18+45,4
18+47,3
19+1,1
19+2,2
19+4,2
19+6,1
19+7,2
19+9,1
19+11,1
19+18,2
19+21,1
19+23,1
19+25,1
19+26,1
19+28,2
19+29,1
19+30,2
19+31,1
19+33,3
19+35,1
19+42,1
19+43,3
19+45,1
19+46,1
19+47,1
20+1,2
20+2,5
20+3,3
20+4,3
20+6,3
20+7,8
20+8,1
20+10,2
20+11,3
20+12,1
20+13,1
20+16,3
20+17,1
20+19,2
20+23,2
20+25,3
20+27,3
20+34,3
20+35,1
20+39,1
20+40,2
20+41,3
20+42,3
20+43,4
20+44,5
20+45,5
20+46,6
20+47,3
20+48,5
21+2,4
21+3,3
21+6,1
21+7,1
21+8,1
21+10,1
21+14,1
21+15,1
21+16,1
21+18,4
21+19,1
21+23,4
21+25,5
21+26,4
21+27,3
21+28,4
21+29,3
21+30,3
21+31,1
21+33,2
21+34,3
21+40,1
21+41,3
21+42,1
21+43,2
21+44,4
21+45,3
21+46,3
21+47,2
21+48,3
22+1,1
22+3,2
22+4,1
22+5,1
22+7,1
22+8,1
22+11,2
22+16,1
22+23,1
22+24,1
22+28,1
22+30,1
22+33,1
22+34,3
22+35,1
22+37,1
22+38,1
22+41,2
22+47,2
23+5,1
23+6,4
23+7,6
23+10,1
23+11,4
23+12,3
23+14,1
23+15,1
23+16,1
23+17,1
23+18,4
23+19,1
23+20,2
23+21,4
23+22,1
23+25,5
23+26,2
23+28,5
23+30,5
23+31,1
23+33,6
23+34,4
23+35,3
23+36,1
23+38,3
23+39,4
23+43,6
23+44,5
23+45,4
23+46,6
23+47,2
23+48,1
24+1,1
24+3,1
24+22,1
24+25,1
24+38,1
24+43,1
24+45,1
24+46,1
24+47,1
24+48,2
25+1,1
25+3,5
25+4,5
25+5,3
25+7,4
25+10,1
25+11,1
25+12,3
25+14,2
25+17,1
25+18,6
25+20,3
25+21,5
25+22,3
25+23,5
25+24,1
25+26,2
25+27,4
25+28,4
25+29,5
25+30,7
25+31,1
25+32,2
25+33,4
25+34,6
25+35,4
25+37,1
25+39,2
25+40,2
25+41,4
25+42,2
25+43,4
25+46,4
25+47,4
25+48,1
26+2,5
26+4,2
26+7,2
26+10,1
26+11,1
26+12,1
26+14,1
26+18,1
26+19,1
26+21,4
26+23,2
26+25,2
26+27,1
26+28,2
26+29,2
26+30,4
26+31,1
26+33,2
26+34,1
26+41,3
26+42,2
26+43,2
26+44,1
26+45,1
26+46,1
27+1,1
27+2,5
27+4,5
27+6,1
27+7,2
27+10,1
27+11,5
27+12,4
27+16,3
27+17,1
27+18,4
27+20,3
27+21,3
27+23,1
27+25,4
27+26,1
27+28,3
27+29,4
27+30,2
27+33,4
27+35,1
27+37,1
27+38,1
27+39,1
27+42,4
27+43,4
27+44,6
27+45,2
27+46,2
27+48,1
28+1,1
28+2,3
28+3,3
28+6,1
28+7,2
28+11,2
28+12,4
28+16,2
28+18,5
28+20,3
28+21,4
28+22,1
28+23,5
28+25,4
28+26,2
28+27,3
28+29,4
28+32,1
28+33,6
28+35,2
28+36,2
28+39,1
28+41,5
28+42,1
28+43,3
28+44,6
28+46,5
28+47,3
29+1,1
29+3,4
29+4,5
29+5,1
29+6,1
29+7,1
29+11,5
29+15,1
29+16,3
29+18,1
29+21,3
29+23,5
29+25,5
29+26,2
29+27,4
29+28,4
29+30,3
29+32,1
29+33,3
29+34,4
29+38,1
29+41,2
29+42,4
29+43,3
29+44,7
29+45,2
29+46,2
29+47,2
30+2,4
30+3,4
30+4,7
30+5,1
30+7,1
30+8,1
30+10,2
30+11,3
30+12,2
30+14,2
30+16,4
30+17,1
30+18,3
30+19,2
30+21,3
30+22,1
30+23,5
30+25,7
30+26,4
30+27,2
30+29,3
30+31,1
30+32,2
30+33,7
30+34,5
30+35,1
30+40,2
30+41,7
30+42,5
30+43,8
30+45,6
30+46,6
30+47,3
31+2,2
31+6,2
31+7,2
31+11,1
31+19,1
31+21,1
31+23,1
31+25,1
31+26,1
31+30,1
31+34,1
31+43,2
32+5,1
32+8,1
32+25,2
32+28,1
32+29,1
32+30,2
32+35,1
32+40,1
32+41,2
32+43,2
32+44,1
32+47,1
33+1,1
33+2,6
33+3,2
33+4,5
33+5,1
33+6,1
33+7,8
33+8,2
33+10,1
33+11,3
33+12,3
33+14,3
33+16,3
33+17,2
33+18,3
33+19,3
33+21,2
33+22,1
33+23,6
33+25,4
33+26,2
33+27,4
33+28,6
33+30,7
33+34,4
33+35,5
33+38,2
33+39,4
33+40,1
33+41,2
33+42,3
33+44,7
33+46,7
33+47,5
33+48,2
34+1,2
34+2,4
34+3,4
34+4,2
34+5,2
34+6,1
34+10,2
34+11,3
34+12,3
34+13,1
34+14,2
34+15,1
34+16,7
34+18,2
34+20,3
34+21,3
34+22,3
34+23,4
34+25,6
34+26,1
34+27,3
34+28,2
34+29,4
34+30,5
34+31,1
34+33,4
34+35,1
34+36,1
34+39,4
34+41,3
34+42,2
34+43,6
34+45,3
34+46,1
34+47,3
35+6,1
35+7,2
35+8,1
35+11,1
35+12,2
35+16,1
35+18,4
35+19,1
35+20,1
35+22,1
35+23,3
35+25,4
35+28,2
35+30,1
35+32,1
35+33,5
35+34,1
35+36,1
35+41,1
35+44,3
35+46,2
35+47,4
35+48,1
36+12,1
36+16,1
36+18,2
36+23,1
36+28,2
36+33,1
36+34,1
36+35,1
36+41,2
36+43,1
36+46,1
37+2,1
37+11,1
37+21,1
37+22,1
37+25,1
37+27,1
37+48,1
38+2,1
38+7,3
38+14,1
38+16,1
38+22,1
38+23,3
38+24,1
38+25,1
38+27,1
38+29,1
38+30,1
38+33,2
38+34,1
38+39,1
38+41,1
38+43,1
38+44,2
38+45,2
38+46,2
39+1,1
39+2,1
39+3,2
39+4,5
39+5,1
39+6,2
39+11,2
39+12,1
39+13,1
39+14,1
39+16,4
39+17,1
39+18,3
39+20,1
39+23,4
39+25,2
39+27,1
39+30,2
39+33,4
39+34,4
39+38,1
39+41,2
39+43,5
39+44,4
39+45,3
39+46,3
39+47,1
40+4,1
40+5,1
40+12,1
40+20,2
40+21,1
40+25,2
40+30,2
40+32,1
40+33,1
40+43,2
40+45,1
40+47,1
40+48,1
41+2,9
41+3,8
41+4,6
41+7,5
41+11,5
41+14,2
41+16,4
41+20,3
41+22,2
41+23,4
41+25,4
41+27,3
41+29,2
41+30,7
41+32,2
41+33,2
41+35,1
41+36,2
41+43,8
41+44,3
41+45,3
41+46,3
41+48,2
42+1,1
42+2,2
42+3,3
42+4,2
42+6,1
42+7,1
42+11,2
42+14,1
42+16,1
42+18,2
42+19,1
42+20,3
42+21,1
42+23,2
42+25,2
42+26,2
42+27,4
42+28,1
42+29,4
42+30,5
42+33,3
42+34,2
42+43,5
42+44,1
42+45,2
42+46,2
42+47,2
42+48,1
43+2,5
43+3,2
43+4,7
43+6,1
43+7,7
43+10,1
43+11,5
43+12,5
43+14,4
43+16,4
43+18,5
43+19,3
43+21,2
43+23,6
43+24,1
43+25,4
43+26,2
43+30,8
43+31,2
43+32,2
43+33,5
43+35,2
43+36,1
43+38,1
43+39,5
43+40,2
43+41,8
43+42,5
43+44,7
43+45,3
43+46,7
43+48,3
44+1,1
44+2,5
44+3,6
44+4,11
44+5,1
44+7,8
44+8,2
44+10,4
44+11,4
44+12,3
44+16,6
44+17,1
44+18,1
44+20,5
44+21,4
44+23,5
44+25,5
44+26,1
44+28,6
44+29,7
44+30,7
44+32,1
44+33,7
44+34,6
44+35,3
44+39,4
44+41,3
44+42,1
44+43,7
44+45,5
44+46,6
44+48,2
45+1,1
45+2,3
45+3,3
45+4,3
45+6,2
45+7,5
45+8,1
45+10,1
45+11,6
45+14,2
45+16,2
45+17,1
45+19,1
45+20,5
45+21,3
45+23,4
45+24,1
45+25,1
45+26,1
45+27,2
45+28,3
45+29,2
45+33,6
45+34,3
45+38,2
45+40,1
45+41,3
45+42,2
45+43,3
45+44,5
45+46,7
45+47,2
45+48,3
46+2,2
46+3,2
46+4,5
46+6,2
46+7,3
46+8,1
46+10,4
46+11,4
46+12,3
46+14,3
46+18,4
46+19,1
46+20,6
46+21,3
46+23,6
46+25,4
46+26,1
46+27,2
46+28,5
46+29,2
46+30,6
46+33,7
46+34,1
46+35,2
46+38,2
46+39,3
46+41,3
46+42,2
46+44,6
46+47,2
46+48,1
47+1,1
47+3,5
47+4,4
47+6,2
47+7,4
47+11,2
47+12,3
47+14,1
47+16,1
47+18,3
47+19,1
47+21,2
47+22,2
47+24,1
47+25,4
47+28,3
47+29,2
47+30,3
47+32,1
47+34,3
47+35,4
47+39,1
47+40,1
47+41,3
47+42,2
47+44,4
47+46,2
47+48,2
48+2,2
48+3,2
48+4,1
48+6,2
48+7,2
48+14,1
48+16,1
48+20,5
48+21,3
48+24,2
48+25,1
48+27,1
48+33,2
48+35,1
48+37,1
48+40,1
48+41,2
48+42,1
48+43,3
48+44,2
48+45,3
48+46,1
48+47,2
